State,EODB_Category
Andhra Pradesh,Top Performer
Arunachal Pradesh,Needs Improvement
Assam,Recognized for Reforms
Bihar,Needs Improvement
Chhattisgarh,Not Listed
Goa,Needs Improvement
Gujarat,Top Performer
Haryana,Not Listed
Himachal Pradesh,Needs Improvement
Jharkhand,Needs Improvement
Karnataka,Recognized for Reforms
Kerala,Top Performer
Madhya Pradesh,Recognized for Reforms
Maharashtra,Recognized for Reforms
Manipur,Recognized for Reforms
Meghalaya,Needs Improvement
Mizoram,Needs Improvement
Nagaland,Needs Improvement
Odisha,Recognized for Reforms
Punjab,Recognized for Reforms
Rajasthan,Recognized for Reforms
Sikkim,Needs Improvement
Tamil Nadu,Not Listed
Telangana,Recognized for Reforms
Tripura,Recognized for Reforms
Uttar Pradesh,Recognized for Reforms
Uttarakhand,Recognized for Reforms
West Bengal,Not Listed
Andaman and Nicobar Islands,Recognized for Reforms
Chandigarh,Needs Improvement
Dadra and Nagar Haveli and Daman and Diu,Recognized for Reforms
Delhi,Needs Improvement
Jammu and Kashmir,Needs Improvement
Ladakh,Not Listed
Lakshadweep,Needs Improvement
Puducherry,Needs Improvement